N,silent_frac,n_active,rate_cv_act,rate_p90_p50,pr,pr_active,energy,energy_hhi,mean_rate,pr_over_N,pr_over_active,sel_ctx,sel_ctx_act,sel_motion,sel_motion_act,sel_color,sel_color_act,sel_choice,sel_choice_act,sweep,eq,penalty
1000,0.0,1000,0.34254891103225554,1.481527422817482,5.5931648684315105,5.5931648684315105,18.15764498263331,0.001080805079518873,0.0611588090981315,0.00559316486843151,0.00559316486843151,0.642,0.642,0.549,0.549,0.561,0.561,0.864,0.864,CDDM_std_g0,s,both
1000,0.222,778,2.479796350795858,7.861811356080786,3.3952284596103466,3.395228459609968,48.459014596187984,0.054738158172715386,0.040740786748248235,0.0033952284596103464,0.004364046863252373,0.4,0.5141388174807198,0.209,0.2686375321336761,0.208,0.26735218508997427,0.351,0.45115681233933164,CDDM_std_g0,s,rws
1000,0.245,755,2.676854865550421,6.980823737729418,3.3450758766809483,3.3450758766809523,51.49194915261704,0.11068563846428578,0.040835681409699794,0.003345075876680948,0.004430564075074104,0.409,0.5417218543046357,0.231,0.30596026490066225,0.235,0.31125827814569534,0.386,0.5112582781456954,CDDM_std_g0,s,rws
1000,0.228,772,2.5383498220340783,6.743693435267714,3.3225290743041795,3.3225290743041533,47.11170325378737,0.06890328583200762,0.039734960803161516,0.0033225290743041794,0.004303794137699714,0.386,0.5,0.225,0.2914507772020725,0.199,0.25777202072538863,0.363,0.47020725388601037,CDDM_std_g0,s,rws
1000,0.203,797,3.0568200281333615,8.176297774327917,3.365605279250406,3.3656052792502007,58.04974673305931,0.17316082830451573,0.04119622754622317,0.003365605279250406,0.00422284225752874,0.403,0.5056461731493099,0.2,0.25094102885821834,0.22,0.27603513174404015,0.357,0.4479297365119197,CDDM_std_g0,s,rws
1000,0.223,777,3.0970574353952527,7.971894716550352,3.212361776670419,3.2123617766703765,53.774747885101455,0.17661627281722928,0.038046762756705314,0.003212361776670419,0.004134313740888571,0.402,0.5173745173745173,0.213,0.27413127413127414,0.229,0.2947232947232947,0.37,0.47619047619047616,CDDM_std_g0,s,rws
1000,0.0,1000,0.3019728726032976,1.4225281997806658,7.083202672081584,7.083202672081584,17.501019709267435,0.001066808282887119,0.056475567551395225,0.007083202672081584,0.007083202672081584,0.406,0.406,0.555,0.555,0.548,0.548,0.739,0.739,CDDM_std_g0,s,frm
1000,0.0,1000,0.3013754041336219,1.3908688984506186,7.059313419594423,7.059313419594423,17.59279355418828,0.0010675267631883468,0.05647821485356148,0.007059313419594423,0.007059313419594423,0.373,0.373,0.527,0.527,0.551,0.551,0.727,0.727,CDDM_std_g0,s,frm
1000,0.0,1000,0.3122410572269486,1.3354235478832341,7.205748772878035,7.205748772878035,17.269050929393053,0.0010734545737250622,0.055176283030478605,0.0072057487728780355,0.0072057487728780355,0.421,0.421,0.549,0.549,0.526,0.526,0.716,0.716,CDDM_std_g0,s,frm
1000,0.0,1000,0.3108652569595197,1.3674647722600102,6.951174254248679,6.951174254248679,17.55761360065625,0.0010705064406518671,0.05638223354045129,0.006951174254248679,0.006951174254248679,0.403,0.403,0.541,0.541,0.55,0.55,0.736,0.736,CDDM_std_g0,s,frm
1000,0.0,1000,0.33366800285238774,1.4031393044654987,7.013732669335257,7.013732669335257,17.79332182237532,0.001087999174966339,0.0565893700180682,0.0070137326693352564,0.0070137326693352564,0.417,0.417,0.529,0.529,0.538,0.538,0.743,0.743,CDDM_std_g0,s,frm
1000,0.419,581,2.21659202729253,6.876724801521766,3.138007301018945,3.13800730101894,52.863626681928096,0.05987345628275098,0.0386626052961492,0.003138007301018945,0.005401045268535189,0.369,0.6351118760757315,0.182,0.3132530120481928,0.19,0.3270223752151463,0.273,0.46987951807228917,CDDM_std_g0,s,none
1000,0.397,603,2.377148122514862,5.704717532301946,2.6765877157806295,2.6765877157806277,46.88975034892071,0.07792313522817933,0.036236002778103606,0.0026765877157806294,0.0044387855983095015,0.387,0.6417910447761194,0.189,0.31343283582089554,0.199,0.33001658374792703,0.284,0.4709784411276949,CDDM_std_g0,s,none
1000,0.392,608,2.5910376014804513,7.782410107118284,3.32981703598954,3.3298170359895414,58.15360657109123,0.08790443633934905,0.039186502278735845,0.00332981703598954,0.005476672756561743,0.409,0.6726973684210527,0.182,0.2993421052631579,0.195,0.3207236842105263,0.272,0.4473684210526316,CDDM_std_g0,s,none
1000,0.38,620,2.472089233283978,5.422591779498536,2.7774639781844717,2.7774639781844708,43.96672342546745,0.08557708233609469,0.03550308854956775,0.0027774639781844718,0.004479780609974954,0.405,0.6532258064516129,0.191,0.30806451612903224,0.214,0.34516129032258064,0.296,0.4774193548387097,CDDM_std_g0,s,none
